Order ID,Order Date,Category,Region,Sales,Quantity,Discount,Profit
ORD-10337,2024-02-22,Furniture,Central,679.34,6,0.17,-80.2
ORD-10015,2024-02-23,Technology,East,529.7,7,0.08,57.45
ORD-10234,2024-02-24,Office Supplies,South,20.0,6,0.04,1.52
ORD-10484,2024-02-24,Technology,West,504.81,6,0.2,13.2
ORD-10323,2024-02-26,Technology,Central,451.33,2,0.03,96.86
ORD-10152,2024-02-27,Furniture,East,542.66,5,0.14,68.65
ORD-10076,2024-02-28,Furniture,West,688.63,5,0.22,-35.98
ORD-10294,2024-02-29,Technology,West,370.53,3,0.17,56.54
ORD-10281,2024-03-01,Technology,South,479.81,7,0.04,71.02
ORD-10012,2024-03-04,Office Supplies,Central,385.97,1,0.19,-6.1
ORD-10136,2024-03-05,Office Supplies,West,447.11,2,0.08,22.13
ORD-10350,2024-03-05,Furniture,East,669.05,7,0.15,-46.67
ORD-10568,2024-03-06,Furniture,South,485.54,1,0.02,48.73
ORD-10131,2024-03-07,Office Supplies,South,232.33,2,0.24,-15.96
ORD-10431,2024-03-12,Office Supplies,East,351.59,6,0.26,40.85
ORD-10174,2024-03-13,Furniture,West,674.04,3,0.17,51.71
ORD-10380,2024-03-15,Furniture,East,496.88,4,0.16,-29.66
ORD-10310,2024-03-17,Technology,East,697.72,7,0.07,77.91
ORD-10139,2024-03-17,Office Supplies,South,220.36,4,0.17,-7.13
ORD-10144,2024-03-20,Office Supplies,East,254.36,1,0.05,39.35
ORD-10502,2024-03-21,Furniture,East,85.29,1,0.07,0.56
ORD-10519,2024-03-21,Technology,West,332.48,7,0.0,65.2
ORD-10581,2024-03-24,Office Supplies,West,334.47,6,0.22,10.4
ORD-10063,2024-03-26,Office Supplies,East,20.0,6,0.25,-2.68
ORD-10130,2024-03-29,Office Supplies,Central,295.02,1,0.12,-19.1
ORD-10058,2024-03-29,Office Supplies,West,425.56,3,0.23,15.58
ORD-10512,2024-03-29,Office Supplies,Central,55.39,6,0.18,4.86
ORD-10522,2024-03-30,Technology,East,296.53,3,0.01,48.97
ORD-10389,2024-03-31,Furniture,Central,310.4,1,0.26,-9.82
ORD-10241,2024-03-31,Furniture,South,511.83,2,0.26,-16.36
ORD-10190,2024-03-31,Office Supplies,West,318.79,4,0.1,-12.78
ORD-10472,2024-04-02,Office Supplies,West,373.8,7,0.17,26.34
ORD-10217,2024-04-04,Office Supplies,South,302.41,1,0.0,27.0
ORD-10419,2024-04-05,Office Supplies,West,452.57,4,0.17,-10.78
ORD-10125,2024-04-07,Office Supplies,West,447.88,5,0.03,35.4
ORD-10427,2024-04-08,Furniture,South,471.52,1,0.12,109.43
ORD-10228,2024-04-09,Furniture,West,213.63,2,0.08,8.62
ORD-10299,2024-04-10,Office Supplies,East,197.85,3,0.16,13.08
ORD-10275,2024-04-13,Technology,East,189.8,2,0.09,35.33
ORD-10455,2024-04-14,Office Supplies,West,237.54,6,0.13,20.87
ORD-10478,2024-04-14,Office Supplies,South,347.98,1,0.01,62.84
ORD-10487,2024-04-15,Furniture,East,412.24,7,0.0,21.36
ORD-10264,2024-04-15,Office Supplies,West,496.5,7,0.2,-15.76
ORD-10118,2024-04-16,Office Supplies,Central,276.25,6,0.22,13.43
ORD-10224,2024-04-17,Office Supplies,South,116.22,1,0.07,9.14
ORD-10475,2024-04-17,Office Supplies,South,286.04,5,0.15,7.12
ORD-10261,2024-04-19,Office Supplies,East,214.29,4,0.21,2.45
ORD-10179,2024-04-20,Office Supplies,South,100.97,1,0.06,7.58
ORD-10315,2024-04-23,Technology,South,154.15,6,0.07,39.97
ORD-10424,2024-04-26,Furniture,West,304.48,5,0.26,7.0
ORD-10209,2024-04-27,Furniture,Central,634.93,7,0.22,-45.66
ORD-10210,2024-04-27,Furniture,East,669.02,3,0.14,-22.14
ORD-10227,2024-04-29,Furniture,South,470.01,1,0.1,23.32
ORD-10038,2024-04-29,Technology,South,352.67,7,0.05,6.37
ORD-10559,2024-04-30,Furniture,East,190.73,3,0.0,17.46
ORD-10184,2024-04-30,Furniture,South,291.42,7,0.19,-1.1
ORD-10008,2024-04-30,Technology,Central,653.57,6,0.11,4.3
ORD-10256,2024-05-02,Office Supplies,West,212.47,1,0.2,-15.6
ORD-10445,2024-05-04,Furniture,East,434.66,6,0.19,-47.39
ORD-10595,2024-05-04,Furniture,Central,471.71,6,0.19,9.55
ORD-10039,2024-05-04,Technology,West,450.95,3,0.2,58.47
ORD-10196,2024-05-08,Office Supplies,Central,104.85,3,0.13,7.87
ORD-10243,2024-05-08,Furniture,West,189.18,7,0.23,-5.84
ORD-10187,2024-05-09,Furniture,Central,59.11,5,0.19,-2.28
ORD-10474,2024-05-09,Office Supplies,Central,256.56,5,0.07,18.49
ORD-10160,2024-05-09,Office Supplies,Central,230.66,4,0.14,11.73
ORD-10172,2024-05-10,Furniture,West,304.33,3,0.06,24.03
ORD-10413,2024-05-11,Office Supplies,West,322.21,5,0.16,9.09
ORD-10288,2024-05-12,Office Supplies,West,708.82,5,0.01,-30.93
ORD-10107,2024-05-14,Office Supplies,South,312.58,7,0.13,37.9
ORD-10006,2024-05-14,Furniture,West,733.0,6,0.18,-48.84
ORD-10246,2024-05-15,Furniture,West,414.97,7,0.19,-35.74
ORD-10286,2024-05-17,Technology,West,414.29,2,0.19,62.2
ORD-10585,2024-05-18,Technology,South,633.68,2,0.01,196.52
ORD-10399,2024-05-18,Office Supplies,East,260.75,4,0.2,-5.35
ORD-10047,2024-05-18,Technology,East,719.29,7,0.13,91.82
ORD-10181,2024-05-20,Office Supplies,West,409.02,6,0.08,74.95
ORD-10494,2024-05-21,Office Supplies,Central,257.18,1,0.11,8.23
ORD-10334,2024-05-21,Technology,West,305.8,3,0.2,-18.26
ORD-10397,2024-05-23,Technology,South,450.61,3,0.01,85.16
ORD-10215,2024-05-23,Office Supplies,Central,370.38,7,0.1,15.07
ORD-10571,2024-05-24,Furniture,Central,142.02,2,0.34,-7.47
ORD-10542,2024-05-25,Technology,East,738.95,4,0.03,110.87
ORD-10489,2024-05-27,Furniture,Central,335.26,2,0.1,17.22
ORD-10283,2024-05-29,Technology,Central,518.6,1,0.03,96.24
ORD-10095,2024-05-31,Office Supplies,East,486.17,5,0.06,52.45
ORD-10402,2024-06-02,Office Supplies,West,227.99,5,0.16,10.35
ORD-10333,2024-06-03,Furniture,Central,386.13,2,0.06,21.46
ORD-10254,2024-06-05,Technology,East,469.27,7,0.13,54.58
ORD-10448,2024-06-06,Furniture,West,421.05,5,0.17,-29.33
ORD-10238,2024-06-06,Furniture,Central,550.76,4,0.04,112.73
ORD-10138,2024-06-06,Office Supplies,West,367.87,6,0.26,-0.32
ORD-10247,2024-06-07,Technology,Central,432.23,2,0.06,64.63
ORD-10223,2024-06-08,Furniture,Central,576.01,2,0.17,-21.81
ORD-10546,2024-06-15,Furniture,East,335.96,7,0.11,-27.92
ORD-10086,2024-06-15,Office Supplies,West,328.23,5,0.18,20.54
ORD-10068,2024-06-18,Furniture,South,383.33,5,0.18,-6.05
ORD-10289,2024-06-18,Technology,South,746.8,4,0.07,218.48
ORD-10022,2024-06-19,Furniture,South,160.29,3,0.09,-16.95
ORD-10456,2024-06-21,Office Supplies,West,43.56,1,0.11,-1.27
ORD-10032,2024-06-22,Office Supplies,Central,390.27,4,0.16,8.59
ORD-10411,2024-06-25,Furniture,West,41.43,6,0.05,4.69
ORD-10017,2024-06-27,Office Supplies,Central,75.41,4,0.11,-11.72
ORD-10545,2024-07-01,Office Supplies,West,267.6,7,0.12,41.15
ORD-10029,2024-07-05,Office Supplies,Central,162.19,7,0.15,1.41
ORD-10593,2024-07-06,Office Supplies,Central,514.2,5,0.14,1.69
ORD-10423,2024-07-07,Office Supplies,East,513.9,3,0.0,120.16
ORD-10129,2024-07-12,Technology,Central,792.94,4,0.06,132.68
ORD-10326,2024-07-12,Technology,West,678.64,4,0.17,-14.0
ORD-10046,2024-07-15,Furniture,West,314.47,6,0.07,34.45
ORD-10561,2024-07-15,Technology,East,789.21,6,0.18,34.02
ORD-10134,2024-07-17,Office Supplies,West,485.74,2,0.23,28.66
ORD-10266,2024-07-17,Office Supplies,East,286.36,3,0.39,-22.18
ORD-10259,2024-07-18,Technology,West,745.05,4,0.0,113.04
ORD-10520,2024-07-20,Furniture,South,380.16,2,0.24,-1.17
ORD-10037,2024-07-21,Technology,Central,490.15,2,0.29,-40.9
ORD-10332,2024-07-21,Technology,West,884.66,7,0.05,119.02
ORD-10094,2024-07-21,Technology,East,132.83,2,0.19,31.54
ORD-10349,2024-07-22,Office Supplies,East,94.68,6,0.04,3.89
ORD-10451,2024-07-24,Technology,West,201.91,3,0.13,7.41
ORD-10432,2024-07-24,Furniture,West,79.54,4,0.18,-1.03
ORD-10201,2024-07-24,Furniture,East,157.88,3,0.14,0.39
ORD-10155,2024-07-24,Office Supplies,West,478.34,3,0.13,62.97
ORD-10467,2024-07-24,Technology,East,76.64,3,0.02,10.87
ORD-10146,2024-07-25,Office Supplies,South,101.24,1,0.19,11.84
ORD-10549,2024-07-27,Furniture,Central,394.65,4,0.14,-7.88
ORD-10191,2024-07-28,Office Supplies,South,249.07,3,0.06,32.98
ORD-10583,2024-07-28,Furniture,Central,668.91,5,0.08,67.44
ORD-10572,2024-07-30,Furniture,West,554.19,1,0.13,29.24
ORD-10405,2024-07-31,Technology,West,291.38,4,0.08,44.8
ORD-10338,2024-08-01,Furniture,South,751.38,4,0.29,-131.45
ORD-10406,2024-08-01,Technology,South,561.6,2,0.03,144.16
ORD-10343,2024-08-02,Office Supplies,West,422.69,7,0.0,32.84
ORD-10393,2024-08-04,Furniture,East,295.34,1,0.18,0.78
ORD-10463,2024-08-05,Technology,South,783.03,7,0.0,104.21
ORD-10531,2024-08-07,Technology,Central,650.88,6,0.06,91.87
ORD-10292,2024-08-09,Technology,West,100.98,6,0.0,16.19
ORD-10329,2024-08-13,Technology,East,353.86,2,0.07,71.85
ORD-10258,2024-08-13,Office Supplies,East,322.96,5,0.13,26.25
ORD-10206,2024-08-16,Office Supplies,South,448.4,5,0.11,32.6
ORD-10239,2024-08-16,Office Supplies,Central,347.28,3,0.09,23.27
ORD-10547,2024-08-18,Furniture,East,669.6,5,0.11,31.61
ORD-10514,2024-08-19,Technology,West,748.6,6,0.23,-37.72
ORD-10567,2024-08-20,Technology,Central,195.38,4,0.07,24.38
ORD-10458,2024-08-20,Furniture,East,348.26,6,0.22,-45.06
ORD-10558,2024-08-25,Furniture,East,670.58,2,0.2,-18.99
ORD-10353,2024-08-25,Technology,East,918.55,4,0.0,87.35
ORD-10387,2024-08-25,Technology,Central,472.74,2,0.0,84.42
ORD-10503,2024-08-26,Furniture,South,442.85,5,0.07,32.12
ORD-10193,2024-08-27,Furniture,West,429.26,5,0.06,19.9
ORD-10061,2024-08-27,Furniture,West,343.77,3,0.03,24.79
ORD-10415,2024-08-28,Technology,South,132.55,2,0.12,16.39
ORD-10501,2024-09-02,Technology,East,319.41,2,0.02,41.32
ORD-10442,2024-09-06,Office Supplies,Central,320.33,6,0.05,24.1
ORD-10537,2024-09-06,Technology,Central,690.49,4,0.12,110.8
ORD-10192,2024-09-07,Office Supplies,South,401.42,5,0.23,-32.02
ORD-10084,2024-09-07,Furniture,Central,482.89,4,0.13,7.03
ORD-10298,2024-09-10,Office Supplies,South,331.78,4,0.08,-10.14
ORD-10202,2024-09-14,Office Supplies,Central,268.63,6,0.06,16.36
ORD-10528,2024-09-14,Office Supplies,Central,20.0,6,0.21,-1.98
ORD-10221,2024-09-15,Furniture,West,594.87,4,0.19,-9.44
ORD-10526,2024-09-17,Furniture,South,238.32,6,0.21,0.99
ORD-10490,2024-09-17,Technology,East,252.17,6,0.24,22.92
ORD-10169,2024-09-17,Furniture,West,569.22,5,0.17,-24.89
ORD-10453,2024-09-17,Office Supplies,South,85.55,5,0.25,-7.6
ORD-10409,2024-09-18,Office Supplies,South,193.04,6,0.06,28.61
ORD-10270,2024-09-19,Technology,West,998.82,1,0.13,-3.41
ORD-10392,2024-09-21,Office Supplies,West,321.4,3,0.2,45.66
ORD-10515,2024-09-23,Office Supplies,South,186.24,1,0.24,9.06
ORD-10308,2024-09-24,Technology,Central,386.79,5,0.02,61.13
ORD-10577,2024-09-27,Office Supplies,South,292.19,6,0.1,-5.61
ORD-10145,2024-09-27,Furniture,East,549.45,5,0.22,-45.35
ORD-10509,2024-09-27,Furniture,Central,606.21,3,0.15,27.5
ORD-10173,2024-09-27,Furniture,South,291.99,2,0.21,14.1
ORD-10369,2024-09-28,Technology,Central,354.78,5,0.04,59.8
ORD-10197,2024-10-02,Furniture,Central,239.84,7,0.34,-34.03
ORD-10316,2024-10-03,Furniture,East,136.69,3,0.08,14.04
ORD-10080,2024-10-04,Office Supplies,West,394.85,1,0.19,5.45
ORD-10030,2024-10-05,Office Supplies,West,298.25,5,0.11,-12.83
ORD-10051,2024-10-07,Office Supplies,East,279.51,2,0.22,27.67
ORD-10245,2024-10-10,Furniture,Central,547.16,7,0.17,33.67
ORD-10591,2024-10-10,Furniture,East,574.17,5,0.14,-55.06
ORD-10553,2024-10-11,Office Supplies,East,339.22,7,0.08,52.11
ORD-10059,2024-10-11,Furniture,West,717.27,2,0.13,30.51
ORD-10048,2024-10-13,Office Supplies,East,262.0,7,0.08,51.86
ORD-10199,2024-10-13,Furniture,East,142.57,5,0.24,-15.71
ORD-10565,2024-10-14,Furniture,South,32.96,3,0.1,0.25
ORD-10351,2024-10-15,Office Supplies,South,249.35,3,0.0,22.43
ORD-10122,2024-10-15,Furniture,South,1000.72,5,0.24,1.48
ORD-10368,2024-10-16,Technology,West,409.02,3,0.06,44.63
ORD-10422,2024-10-16,Technology,West,434.75,4,0.0,113.77
ORD-10600,2024-10-17,Office Supplies,East,205.12,3,0.22,8.97
ORD-10540,2024-10-19,Office Supplies,Central,420.4,6,0.19,12.09
ORD-10176,2024-10-21,Furniture,East,286.76,7,0.36,-27.33
ORD-10454,2024-10-22,Furniture,East,235.49,6,0.21,-19.71
ORD-10085,2024-10-24,Technology,East,771.23,4,0.15,32.27
ORD-10529,2024-10-24,Office Supplies,South,315.77,2,0.01,23.93
ORD-10044,2024-10-25,Office Supplies,Central,445.67,5,0.11,-2.68
ORD-10175,2024-10-25,Office Supplies,Central,197.89,4,0.0,17.53
ORD-10426,2024-10-26,Office Supplies,Central,485.78,5,0.28,2.77
ORD-10267,2024-10-26,Office Supplies,West,152.98,7,0.07,11.94
ORD-10208,2024-10-27,Furniture,East,576.62,3,0.21,-39.31
ORD-10279,2024-10-28,Office Supplies,West,248.12,1,0.08,32.73
ORD-10533,2024-10-30,Furniture,Central,432.14,1,0.17,27.66
ORD-10035,2024-10-31,Furniture,Central,508.72,3,0.2,12.16
ORD-10476,2024-11-01,Office Supplies,West,142.54,7,0.16,9.91
ORD-10570,2024-11-01,Office Supplies,South,380.65,1,0.05,55.85
ORD-10535,2024-11-02,Technology,Central,325.01,6,0.15,27.6
ORD-10366,2024-11-02,Office Supplies,West,115.31,2,0.2,14.96
ORD-10450,2024-11-02,Office Supplies,South,188.02,1,0.16,19.51
ORD-10408,2024-11-03,Office Supplies,Central,171.59,2,0.09,16.06
ORD-10273,2024-11-03,Furniture,Central,536.04,1,0.27,-39.89
ORD-10253,2024-11-04,Office Supplies,West,237.1,7,0.27,-9.46
ORD-10525,2024-11-06,Office Supplies,South,271.78,1,0.19,19.76
ORD-10106,2024-11-07,Office Supplies,West,401.69,3,0.1,46.3
ORD-10170,2024-11-08,Technology,West,416.08,4,0.12,43.72
ORD-10444,2024-11-09,Technology,Central,768.4,4,0.0,186.89
ORD-10580,2024-11-10,Office Supplies,Central,126.63,7,0.07,10.49
ORD-10067,2024-11-10,Furniture,East,365.43,7,0.29,-59.84
ORD-10523,2024-11-10,Office Supplies,West,300.05,7,0.07,18.46
ORD-10460,2024-11-12,Office Supplies,Central,302.83,6,0.21,0.02
ORD-10379,2024-11-13,Technology,Central,385.57,5,0.1,48.68
ORD-10274,2024-11-14,Office Supplies,East,93.12,4,0.15,-0.99
ORD-10300,2024-11-16,Technology,West,20.0,7,0.05,3.78
ORD-10446,2024-11-17,Furniture,East,465.27,5,0.12,29.28
ORD-10574,2024-11-21,Office Supplies,East,169.8,7,0.01,25.91
ORD-10578,2024-11-21,Office Supplies,East,30.21,2,0.26,-1.79
ORD-10121,2024-11-21,Technology,South,385.8,5,0.16,80.96
ORD-10075,2024-11-24,Office Supplies,East,67.02,5,0.2,7.73
ORD-10272,2024-11-30,Office Supplies,West,428.37,1,0.23,-5.17
ORD-10056,2024-11-30,Office Supplies,West,336.48,3,0.12,-6.69
ORD-10265,2024-12-01,Office Supplies,South,458.11,7,0.17,8.12
ORD-10563,2024-12-01,Technology,West,483.15,1,0.01,123.09
ORD-10276,2024-12-03,Office Supplies,West,20.0,3,0.17,0.73
ORD-10186,2024-12-03,Furniture,Central,372.97,3,0.17,43.23
ORD-10498,2024-12-04,Furniture,West,660.26,4,0.32,-25.32
ORD-10091,2024-12-10,Technology,Central,631.72,1,0.03,148.66
ORD-10257,2024-12-14,Office Supplies,East,248.56,5,0.15,5.01
ORD-10159,2024-12-15,Technology,East,318.6,1,0.21,-17.9
ORD-10248,2024-12-16,Technology,East,558.98,2,0.16,92.92
ORD-10277,2024-12-17,Furniture,West,240.92,7,0.19,-3.02
ORD-10518,2024-12-17,Office Supplies,South,205.54,5,0.18,1.89
ORD-10016,2024-12-17,Technology,West,182.56,5,0.12,27.59
ORD-10301,2024-12-18,Furniture,East,522.27,4,0.1,70.19
ORD-10346,2024-12-18,Furniture,South,916.53,1,0.22,76.25
ORD-10538,2024-12-22,Furniture,West,429.38,5,0.18,17.51
ORD-10361,2024-12-23,Technology,East,503.28,3,0.09,73.52
ORD-10532,2024-12-24,Technology,South,20.0,5,0.32,-1.48
ORD-10307,2024-12-25,Technology,Central,267.47,2,0.22,17.62
ORD-10548,2024-12-26,Technology,West,439.77,5,0.2,26.84
ORD-10303,2024-12-26,Office Supplies,Central,433.12,2,0.03,106.56
ORD-10287,2024-12-27,Technology,Central,1089.37,7,0.07,129.29
ORD-10374,2024-12-27,Technology,West,513.44,1,0.0,117.34
ORD-10395,2024-12-31,Technology,East,333.83,3,0.24,56.9
ORD-10278,2025-01-01,Technology,South,289.05,5,0.15,47.91
ORD-10480,2025-01-02,Office Supplies,South,167.63,1,0.1,18.39
ORD-10198,2025-01-03,Office Supplies,Central,496.5,2,0.13,32.49
ORD-10219,2025-01-04,Furniture,East,544.95,6,0.11,31.52
ORD-10507,2025-01-05,Furniture,South,453.58,7,0.12,-35.38
ORD-10404,2025-01-05,Technology,South,419.12,4,0.1,24.13
ORD-10495,2025-01-06,Technology,Central,637.33,1,0.2,44.09
ORD-10062,2025-01-08,Office Supplies,South,291.63,6,0.15,29.41
ORD-10554,2025-01-09,Office Supplies,West,98.22,1,0.11,0.82
ORD-10385,2025-01-09,Furniture,South,429.93,4,0.29,-76.33
ORD-10491,2025-01-11,Office Supplies,East,330.1,7,0.1,45.53
ORD-10488,2025-01-13,Technology,West,337.61,5,0.15,21.9
ORD-10104,2025-01-13,Furniture,South,291.33,4,0.13,-8.1
ORD-10381,2025-01-13,Furniture,East,694.13,1,0.3,-33.81
ORD-10363,2025-01-16,Furniture,Central,505.12,2,0.31,-67.75
ORD-10382,2025-01-17,Technology,East,574.6,7,0.0,175.07
ORD-10508,2025-01-18,Furniture,West,213.73,7,0.24,0.47
ORD-10183,2025-01-19,Technology,West,702.64,3,0.1,116.73
ORD-10025,2025-01-20,Furniture,South,714.37,7,0.07,72.02
ORD-10443,2025-01-23,Technology,East,924.43,2,0.09,64.85
ORD-10418,2025-01-25,Furniture,South,465.11,5,0.06,43.54
ORD-10158,2025-01-27,Furniture,South,370.62,5,0.19,36.15
ORD-10102,2025-01-27,Office Supplies,South,293.23,1,0.21,16.22
ORD-10072,2025-01-27,Furniture,West,285.11,7,0.03,16.37
ORD-10235,2025-01-29,Technology,Central,648.57,6,0.17,-6.25
ORD-10252,2025-02-03,Office Supplies,West,336.44,4,0.18,45.18
ORD-10194,2025-02-05,Office Supplies,West,38.77,6,0.01,3.42
ORD-10516,2025-02-05,Office Supplies,West,107.28,7,0.14,-7.37
ORD-10147,2025-02-06,Technology,East,726.92,3,0.2,57.12
ORD-10149,2025-02-06,Furniture,South,757.77,1,0.02,25.4
ORD-10594,2025-02-07,Furniture,Central,387.06,4,0.09,32.22
ORD-10009,2025-02-07,Furniture,East,974.06,4,0.05,35.87
ORD-10347,2025-02-09,Office Supplies,Central,108.39,4,0.04,18.52
ORD-10469,2025-02-10,Office Supplies,East,361.51,7,0.0,45.69
ORD-10412,2025-02-14,Furniture,West,181.55,3,0.25,0.66
ORD-10135,2025-02-15,Technology,East,139.1,6,0.1,16.46
ORD-10057,2025-02-16,Furniture,South,841.5,6,0.11,70.52
ORD-10021,2025-02-17,Technology,East,483.1,5,0.0,57.5
ORD-10530,2025-02-17,Technology,Central,153.52,6,0.0,19.79
ORD-10269,2025-02-18,Office Supplies,East,469.58,1,0.0,81.5
ORD-10447,2025-02-20,Office Supplies,Central,20.0,5,0.12,-0.29
ORD-10356,2025-02-20,Office Supplies,South,228.62,6,0.03,19.99
ORD-10113,2025-02-20,Office Supplies,East,20.0,3,0.12,-0.7
ORD-10132,2025-02-20,Technology,South,422.2,5,0.0,108.47
ORD-10313,2025-02-22,Office Supplies,West,233.38,2,0.08,19.99
ORD-10588,2025-02-24,Furniture,East,477.45,5,0.03,36.74
ORD-10128,2025-02-25,Technology,South,928.77,4,0.13,59.74
ORD-10539,2025-02-28,Office Supplies,Central,20.0,5,0.04,2.37
ORD-10040,2025-02-28,Office Supplies,East,392.07,2,0.13,21.07
ORD-10154,2025-03-01,Office Supplies,West,251.58,7,0.11,16.06
ORD-10309,2025-03-02,Office Supplies,East,319.29,7,0.15,27.25
ORD-10110,2025-03-02,Office Supplies,South,219.0,4,0.14,20.69
ORD-10464,2025-03-04,Technology,East,228.15,4,0.07,11.79
ORD-10587,2025-03-04,Office Supplies,West,371.26,4,0.07,55.27
ORD-10569,2025-03-07,Furniture,Central,287.18,7,0.05,19.71
ORD-10020,2025-03-09,Furniture,South,335.88,6,0.3,-21.44
ORD-10073,2025-03-09,Furniture,Central,464.42,3,0.24,-37.58
ORD-10352,2025-03-11,Office Supplies,East,169.62,2,0.16,-7.34
ORD-10536,2025-03-12,Furniture,South,369.91,5,0.11,33.54
ORD-10177,2025-03-13,Technology,East,373.88,1,0.1,78.06
ORD-10236,2025-03-15,Technology,West,1046.6,6,0.17,121.48
ORD-10082,2025-03-15,Furniture,South,415.84,4,0.22,-37.07
ORD-10321,2025-03-16,Furniture,East,428.37,6,0.21,-34.56
ORD-10002,2025-03-20,Office Supplies,Central,402.32,3,0.18,-4.37
ORD-10222,2025-03-21,Technology,West,557.77,5,0.05,109.45
ORD-10543,2025-03-21,Furniture,South,533.59,1,0.06,41.31
ORD-10336,2025-03-22,Technology,Central,61.71,7,0.19,0.83
ORD-10473,2025-03-25,Office Supplies,East,20.0,2,0.07,0.89
ORD-10340,2025-03-26,Office Supplies,East,408.78,1,0.05,-24.76
ORD-10477,2025-03-28,Office Supplies,South,124.58,4,0.17,-7.84
ORD-10054,2025-03-30,Technology,South,741.9,4,0.1,79.39
ORD-10111,2025-03-30,Office Supplies,West,321.87,1,0.19,9.5
ORD-10001,2025-04-01,Office Supplies,East,373.69,7,0.17,-15.8
ORD-10003,2025-04-01,Furniture,South,407.03,6,0.0,10.37
ORD-10564,2025-04-03,Office Supplies,West,421.12,3,0.22,12.91
ORD-10096,2025-04-05,Furniture,West,388.01,3,0.31,-36.15
ORD-10312,2025-04-07,Office Supplies,East,338.64,2,0.04,20.54
ORD-10255,2025-04-08,Office Supplies,East,256.01,1,0.12,36.56
ORD-10579,2025-04-08,Office Supplies,West,246.48,1,0.07,7.56
ORD-10596,2025-04-08,Office Supplies,Central,260.23,6,0.12,24.98
ORD-10178,2025-04-08,Technology,West,20.0,6,0.0,4.64
ORD-10541,2025-04-10,Technology,Central,526.81,4,0.18,24.75
ORD-10371,2025-04-10,Technology,West,179.51,2,0.0,41.28
ORD-10330,2025-04-12,Office Supplies,West,297.11,3,0.12,36.54
ORD-10141,2025-04-13,Furniture,West,89.86,4,0.13,13.22
ORD-10506,2025-04-13,Office Supplies,Central,456.41,7,0.12,50.43
ORD-10435,2025-04-15,Office Supplies,East,20.0,5,0.09,3.32
